hash,output_bit,mean_bias,max_bias
identity,0,0.5,0.5
identity,1,0.5,0.5
identity,2,0.5,0.5
identity,3,0.5,0.5
identity,4,0.5,0.5
identity,5,0.5,0.5
identity,6,0.5,0.5
identity,7,0.5,0.5
identity,8,0.5,0.5
identity,9,0.5,0.5
identity,10,0.5,0.5
identity,11,0.5,0.5
identity,12,0.5,0.5
identity,13,0.5,0.5
identity,14,0.5,0.5
identity,15,0.5,0.5
identity,16,0.5,0.5
identity,17,0.5,0.5
identity,18,0.5,0.5
identity,19,0.5,0.5
identity,20,0.5,0.5
identity,21,0.5,0.5
identity,22,0.5,0.5
identity,23,0.5,0.5
identity,24,0.5,0.5
identity,25,0.5,0.5
identity,26,0.5,0.5
identity,27,0.5,0.5
identity,28,0.5,0.5
identity,29,0.5,0.5
identity,30,0.5,0.5
identity,31,0.5,0.5
identity,32,0.5,0.5
identity,33,0.5,0.5
identity,34,0.5,0.5
identity,35,0.5,0.5
identity,36,0.5,0.5
identity,37,0.5,0.5
identity,38,0.5,0.5
identity,39,0.5,0.5
identity,40,0.5,0.5
identity,41,0.5,0.5
identity,42,0.5,0.5
identity,43,0.5,0.5
identity,44,0.5,0.5
identity,45,0.5,0.5
identity,46,0.5,0.5
identity,47,0.5,0.5
identity,48,0.5,0.5
identity,49,0.5,0.5
identity,50,0.5,0.5
identity,51,0.5,0.5
identity,52,0.5,0.5
identity,53,0.5,0.5
identity,54,0.5,0.5
identity,55,0.5,0.5
identity,56,0.5,0.5
identity,57,0.5,0.5
identity,58,0.5,0.5
identity,59,0.5,0.5
identity,60,0.5,0.5
identity,61,0.5,0.5
identity,62,0.5,0.5
identity,63,0.5,0.5
multiplicative,0,0.5,0.5
multiplicative,1,0.5,0.5
multiplicative,2,0.5,0.5
multiplicative,3,0.484413,0.5
multiplicative,4,0.476558,0.5
multiplicative,5,0.474733,0.5
multiplicative,6,0.467689,0.5
multiplicative,7,0.464823,0.5
multiplicative,8,0.464424,0.5
multiplicative,9,0.46294,0.5
multiplicative,10,0.462777,0.5
multiplicative,11,0.454771,0.5
multiplicative,12,0.450617,0.5
multiplicative,13,0.449018,0.5
multiplicative,14,0.447912,0.5
multiplicative,15,0.447488,0.5
multiplicative,16,0.440012,0.5
multiplicative,17,0.436066,0.5
multiplicative,18,0.430115,0.5
multiplicative,19,0.425348,0.5
multiplicative,20,0.419826,0.5
multiplicative,21,0.414932,0.5
multiplicative,22,0.412325,0.5
multiplicative,23,0.405619,0.5
multiplicative,24,0.401151,0.5
multiplicative,25,0.395516,0.5
multiplicative,26,0.392897,0.5
multiplicative,27,0.391505,0.5
multiplicative,28,0.39111,0.5
multiplicative,29,0.390509,0.5
multiplicative,30,0.39047,0.5
multiplicative,31,0.389833,0.5
multiplicative,32,0.382343,0.5
multiplicative,33,0.378688,0.5
multiplicative,34,0.37242,0.5
multiplicative,35,0.369595,0.5
multiplicative,36,0.363528,0.5
multiplicative,37,0.359958,0.5
multiplicative,38,0.359146,0.5
multiplicative,39,0.351993,0.5
multiplicative,40,0.347482,0.5
multiplicative,41,0.345742,0.5
multiplicative,42,0.33876,0.5
multiplicative,43,0.335025,0.5
multiplicative,44,0.328987,0.5
multiplicative,45,0.325837,0.5
multiplicative,46,0.324578,0.5
multiplicative,47,0.323387,0.5
multiplicative,48,0.316134,0.5
multiplicative,49,0.312022,0.5
multiplicative,50,0.309705,0.5
multiplicative,51,0.308949,0.5
multiplicative,52,0.301333,0.5
multiplicative,53,0.296808,0.5
multiplicative,54,0.296044,0.5
multiplicative,55,0.28912,0.5
multiplicative,56,0.284965,0.5
multiplicative,57,0.282857,0.5
multiplicative,58,0.276432,0.5
multiplicative,59,0.272897,0.5
multiplicative,60,0.270592,0.5
multiplicative,61,0.271073,0.5
multiplicative,62,0.263493,0.5
multiplicative,63,0.259346,0.5
folded_multiply,0,0.253461,0.49443
folded_multiply,1,0.256484,0.49475
folded_multiply,2,0.256976,0.49448
folded_multiply,3,0.25249,0.49456
folded_multiply,4,0.250452,0.49429
folded_multiply,5,0.252101,0.494
folded_multiply,6,0.250412,0.49424
folded_multiply,7,0.251172,0.49434
folded_multiply,8,0.252159,0.49392
folded_multiply,9,0.252332,0.49418
folded_multiply,10,0.251643,0.49469
folded_multiply,11,0.251422,0.49439
folded_multiply,12,0.251556,0.49465
folded_multiply,13,0.251144,0.49422
folded_multiply,14,0.251016,0.4942
folded_multiply,15,0.251039,0.49421
folded_multiply,16,0.252271,0.4944
folded_multiply,17,0.250999,0.49438
folded_multiply,18,0.251609,0.49418
folded_multiply,19,0.251445,0.4943
folded_multiply,20,0.251473,0.49459
folded_multiply,21,0.251122,0.49482
folded_multiply,22,0.251674,0.49478
folded_multiply,23,0.251703,0.49447
folded_multiply,24,0.251614,0.49446
folded_multiply,25,0.251358,0.49437
folded_multiply,26,0.251288,0.49464
folded_multiply,27,0.251286,0.49442
folded_multiply,28,0.251733,0.49392
folded_multiply,29,0.251294,0.49442
folded_multiply,30,0.25199,0.49452
folded_multiply,31,0.251239,0.4946
folded_multiply,32,0.251117,0.49454
folded_multiply,33,0.251516,0.49406
folded_multiply,34,0.251199,0.49436
folded_multiply,35,0.25159,0.49435
folded_multiply,36,0.251868,0.49417
folded_multiply,37,0.251142,0.49417
folded_multiply,38,0.25167,0.49475
folded_multiply,39,0.251641,0.49448
folded_multiply,40,0.251817,0.49461
folded_multiply,41,0.251984,0.49457
folded_multiply,42,0.251868,0.49495
folded_multiply,43,0.251566,0.49446
folded_multiply,44,0.251672,0.49451
folded_multiply,45,0.251481,0.4944
folded_multiply,46,0.251714,0.49467
folded_multiply,47,0.251155,0.49456
folded_multiply,48,0.251295,0.49474
folded_multiply,49,0.251578,0.49452
folded_multiply,50,0.251304,0.49426
folded_multiply,51,0.251512,0.49472
folded_multiply,52,0.251002,0.49427
folded_multiply,53,0.250883,0.49404
folded_multiply,54,0.252326,0.4943
folded_multiply,55,0.251996,0.49464
folded_multiply,56,0.250884,0.4947
folded_multiply,57,0.250507,0.49455
folded_multiply,58,0.25153,0.49466
folded_multiply,59,0.252678,0.49451
folded_multiply,60,0.252665,0.49416
folded_multiply,61,0.254564,0.4941
folded_multiply,62,0.252008,0.49432
folded_multiply,63,0.251715,0.49408
tabulation,0,0.0302805,0.15623
tabulation,1,0.0321611,0.11894
tabulation,2,0.0386906,0.11651
tabulation,3,0.0344031,0.11093
tabulation,4,0.0397042,0.11635
tabulation,5,0.0267039,0.07711
tabulation,6,0.0429838,0.10968
tabulation,7,0.0334838,0.14946
tabulation,8,0.0411545,0.11947
tabulation,9,0.0369853,0.10823
tabulation,10,0.0367617,0.08762
tabulation,11,0.0319617,0.16438
tabulation,12,0.0374556,0.11096
tabulation,13,0.0404364,0.15042
tabulation,14,0.0351205,0.1339
tabulation,15,0.0340767,0.09193
tabulation,16,0.03665,0.10966
tabulation,17,0.0341044,0.09265
tabulation,18,0.0359986,0.12509
tabulation,19,0.0296022,0.09907
tabulation,20,0.0330212,0.09897
tabulation,21,0.0319008,0.09533
tabulation,22,0.0344744,0.09237
tabulation,23,0.0385667,0.13307
tabulation,24,0.038673,0.10148
tabulation,25,0.0397652,0.09352
tabulation,26,0.0370273,0.10205
tabulation,27,0.0347394,0.12678
tabulation,28,0.0286894,0.07796
tabulation,29,0.0372323,0.10905
tabulation,30,0.0423903,0.11103
tabulation,31,0.0354347,0.14007
tabulation,32,0.0365055,0.10265
tabulation,33,0.0362019,0.12676
tabulation,34,0.0391363,0.13491
tabulation,35,0.0368956,0.11028
tabulation,36,0.0318269,0.11447
tabulation,37,0.0365075,0.11558
tabulation,38,0.0299894,0.12594
tabulation,39,0.0333483,0.14713
tabulation,40,0.0429311,0.11106
tabulation,41,0.0348239,0.09636
tabulation,42,0.0380312,0.1105
tabulation,43,0.0390481,0.13361
tabulation,44,0.0370809,0.12643
tabulation,45,0.0339105,0.09964
tabulation,46,0.0331625,0.07876
tabulation,47,0.0297658,0.07956
tabulation,48,0.0383766,0.12537
tabulation,49,0.0334111,0.10067
tabulation,50,0.0304714,0.09654
tabulation,51,0.0286014,0.09377
