hash,key_set,capacity,keys,distinct_starts,max_per_start,chi2_ratio,distinct_h2,h2_false_match
identity,uniform,1024,896,583,4,0.989806,128,0.00806972
identity,sequential,1024,896,896,1,0.125122,1,1
identity,stride128,1024,896,8,112,111.234,1,1
identity,stride4096,1024,896,1,896,896,1,1
identity,colliding_splitmix64,1024,896,609,6,0.967463,128,0.00701011
multiplicative,uniform,1024,896,583,4,0.989806,128,0.00890764
multiplicative,sequential,1024,896,896,1,0.125122,128,0
multiplicative,stride128,1024,896,8,112,111.234,128,0.0200088
multiplicative,stride4096,1024,896,1,896,896,128,0.00677125
multiplicative,colliding_splitmix64,1024,896,609,6,0.967463,128,0.00767877
folded_multiply,uniform,1024,896,581,7,1.0613,128,0.00591243
folded_multiply,sequential,1024,896,608,6,0.933948,128,0.0178876
folded_multiply,stride128,1024,896,745,3,0.48038,128,0
folded_multiply,stride4096,1024,896,691,2,0.583159,128,0.0259607
folded_multiply,colliding_splitmix64,1024,896,605,6,1.01438,128,0.00885236
tabulation,uniform,1024,896,592,5,1.00768,128,0.00661209
tabulation,sequential,1024,896,597,5,0.998743,128,0.00563028
tabulation,stride128,1024,896,604,5,0.987572,128,0.00750408
tabulation,stride4096,1024,896,616,4,0.911605,128,0.00892033
tabulation,colliding_splitmix64,1024,896,593,4,1.02109,128,0.0072023
splitmix64,uniform,1024,896,600,5,0.99204,128,0.00831895
splitmix64,sequential,1024,896,595,5,1.02556,128,0.00756722
splitmix64,stride128,1024,896,593,5,1.08141,128,0.0101961
splitmix64,stride4096,1024,896,615,6,0.96076,128,0.00879859
splitmix64,colliding_splitmix64,1024,896,1,896,896,1,1
identity,uniform,65536,57344,38393,7,0.988645,128,0.00792284
identity,sequential,65536,57344,57344,1,0.125002,1,1
identity,stride128,65536,57344,512,112,111.127,1,1
identity,stride4096,65536,57344,16,3584,3583.18,1,1
identity,colliding_splitmix64,65536,57344,38165,7,1.00382,128,0.00776043
multiplicative,uniform,65536,57344,38393,7,0.988645,128,0.00781291
multiplicative,sequential,65536,57344,57344,1,0.125002,128,0.000618024
multiplicative,stride128,65536,57344,512,112,111.127,128,0.00328035
multiplicative,stride4096,65536,57344,16,3584,3583.18,128,0.00754769
multiplicative,colliding_splitmix64,65536,57344,38165,7,1.00382,128,0.00788845
folded_multiply,uniform,65536,57344,38200,8,1.00061,128,0.00786446
folded_multiply,sequential,65536,57344,39007,7,0.940444,128,0.00700217
folded_multiply,stride128,65536,57344,40918,6,0.806758,128,0.0116634
folded_multiply,stride4096,65536,57344,45875,3,0.541129,128,0
folded_multiply,colliding_splitmix64,65536,57344,38083,7,1.00727,128,0.00789726
tabulation,uniform,65536,57344,38271,7,0.993842,128,0.0078354
tabulation,sequential,65536,57344,38265,7,1.00539,128,0.00759454
tabulation,stride128,65536,57344,38352,7,0.985367,128,0.00881867
tabulation,stride4096,65536,57344,37715,7,1.04257,128,0.00717468
tabulation,colliding_splitmix64,65536,57344,38154,7,1.00124,128,0.00776503
splitmix64,uniform,65536,57344,38368,7,0.993493,128,0.00749922
splitmix64,sequential,65536,57344,38307,7,0.997992,128,0.00769399
splitmix64,stride128,65536,57344,38372,6,0.989796,128,0.00793314
splitmix64,stride4096,65536,57344,38226,8,1.00057,128,0.00755159
splitmix64,colliding_splitmix64,65536,57344,1,57344,57344,1,1
identity,uniform,1048576,917504,611309,9,1.00044,128,0.00784206
identity,sequential,1048576,917504,917504,1,0.125,1,1
identity,stride128,1048576,917504,8192,112,111.125,1,1
identity,stride4096,1048576,917504,256,3584,3583.13,1,1
identity,colliding_splitmix64,1048576,917504,611449,10,0.998519,128,0.00784797
multiplicative,uniform,1048576,917504,611309,9,1.00044,128,0.00771586
multiplicative,sequential,1048576,917504,917504,1,0.125,128,0
multiplicative,stride128,1048576,917504,8192,112,111.125,128,0.00668164
multiplicative,stride4096,1048576,917504,256,3584,3583.13,128,0.00754547
multiplicative,colliding_splitmix64,1048576,917504,611449,10,0.998519,128,0.00782752
folded_multiply,uniform,1048576,917504,611544,9,0.999722,128,0.00781508
folded_multiply,sequential,1048576,917504,610523,8,0.99883,128,0.00636086
folded_multiply,stride128,1048576,917504,626447,8,0.925154,128,0.0118952
folded_multiply,stride4096,1048576,917504,603944,7,1.00189,128,0.0041884
folded_multiply,colliding_splitmix64,1048576,917504,611175,8,1.00096,128,0.00781839
tabulation,uniform,1048576,917504,611620,8,0.99948,128,0.00779835
tabulation,sequential,1048576,917504,611785,8,0.996269,128,0.00793937
tabulation,stride128,1048576,917504,613790,9,0.989451,128,0.00782667
tabulation,stride4096,1048576,917504,612409,9,0.997437,128,0.00771722
tabulation,colliding_splitmix64,1048576,917504,611645,9,0.998037,128,0.0078084
splitmix64,uniform,1048576,917504,611138,7,1.00136,128,0.00781747
splitmix64,sequential,1048576,917504,611361,9,1.00116,128,0.0077918
splitmix64,stride128,1048576,917504,611606,9,1.00029,128,0.00773299
splitmix64,stride4096,1048576,917504,611281,9,1.00202,128,0.00790417
splitmix64,colliding_splitmix64,1048576,917504,1,917504,917504,1,1
